0,2834628.006,2576103.164,3631064.64,4617184.211,3862095.511,5981349.321,2767717.789,894047.9791,2099876.072
2834628.006,0,785415.5768,1056064.075,1306635.012,1478849.175,1418938.378,903994.1658,1699025.04,902491.965
2576103.164,785415.5768,0,267611.1897,361501.9656,492057.6714,834934.5225,174955.0682,2426476.073,2006967.3
3631064.64,1056064.075,267611.1897,0,220704.2563,169893.728,458995.3686,355665.2126,3426995.129,2810544.471
4617184.211,1306635.012,361501.9656,220704.2563,0,381549.7582,212070.3161,468330.6941,4266792.829,3351612.06
3862095.511,1478849.175,492057.6714,169893.728,381549.7582,0,686546.5584,711782.5975,3600854.721,3535316.641
5981349.321,1418938.378,834934.5225,458995.3686,212070.3161,686546.5584,0,900039.3191,5058899.664,3660490.666
2767717.789,903994.1658,174955.0682,355665.2126,468330.6941,711782.5975,900039.3191,0,2756490.097,1815309.183
894047.9791,1699025.04,2426476.073,3426995.129,4266792.829,3600854.721,5058899.664,2756490.097,0,1138364.446
2099876.072,902491.965,2006967.3,2810544.471,3351612.06,3535316.641,3660490.666,1815309.183,1138364.446,0
